ID RA Dec SN Vhel Vhel_err CaT_EW CaT_EW_err Mg_EW Mg_EW_err GoodstarProb MembershipProb MembershipProb_em MembershipProb_ep Member
Boo1_48 209.9910417 14.4673611 36.58 100.9 1.2 2.4 0.26 0.11 0.03 0.99 1.0 0.0 0.0 1
Boo1_49 209.994625 14.6778333 3.06 113.4 9.2 1.98 0.5 -0.44 0.38 0.995 nan nan nan -1
Boo1_50 209.99875 14.6091944 6.05 -777.8 27.2 6.82 0.25 0.27 0.17 0.595 nan nan nan -1
Boo1_51 210.001 14.5430278 30.53 109.4 1.4 3.65 0.29 0.06 0.04 1.0 0.994 0.013 0.004 1
Boo1_52 210.003125 14.5913889 19.96 119.6 4.2 6.13 0.14 -0.17 0.05 1.0 0.996 0.005 0.002 1
Boo1_53 210.004125 14.5240833 7.98 107.6 4.2 1.84 0.19 -0.07 0.15 0.986 1.0 0.0 0.0 1
Boo1_54 210.0059167 14.5733611 28.24 -27.6 1.5 2.91 0.43 0.2 0.04 0.993 0.0 0.0 0.0 -1
Boo1_55 210.006375 14.3650556 62.06 103.8 0.8 2.48 0.11 0.04 0.02 1.0 1.0 0.0 0.0 1
Boo1_56 210.0069167 14.4152222 123.98 93.8 0.7 5.61 0.07 0.53 0.01 0.959 0.0 0.0 0.0 -1
Boo1_57 210.0092917 14.6872778 18.75 80.4 2.2 4.87 0.37 0.13 0.06 0.999 0.0 0.0 0.0 -1
Boo1_58 210.0095417 14.4481667 6.65 108.7 5.2 2.01 0.28 -0.06 0.17 0.999 0.993 0.003 0.002 1
Boo1_59 210.0101667 14.3803056 15.69 104.0 2.5 2.57 0.68 0.16 0.07 1.0 0.85 0.149 0.07 -1
Boo1_60 210.0127917 14.5065556 12.52 104.8 2.7 2.99 0.59 -0.29 0.1 0.988 0.996 0.002 0.001 1
Boo1_61 210.0138333 14.4809444 25.95 107.3 1.4 2.49 0.63 0.05 0.04 1.0 0.999 0.001 0.0 1
Boo1_62 210.0145 14.6645 6.19 105.6 5.1 1.56 0.84 -0.73 0.19 1.0 0.985 0.006 0.004 1
Boo1_63 210.0215417 14.5743889 20.44 104.8 1.8 1.54 0.35 -0.17 0.05 1.0 1.0 0.0 0.0 1
Boo1_64 210.0222083 14.5064722 19.01 100.6 1.8 2.56 0.39 0.05 0.06 1.0 1.0 0.0 0.0 1
Boo1_65 210.023375 14.4385556 36.57 105.9 1.0 2.07 0.13 0.01 0.03 1.0 1.0 0.0 0.0 1
Boo1_66 210.036125 14.6150833 22.58 102.8 2.3 2.41 0.26 -0.0 0.05 1.0 1.0 0.0 0.0 1
Boo1_67 210.0429583 14.4407222 5.33 102.1 5.2 2.11 1.17 0.43 0.2 0.968 0.993 0.002 0.002 1
Boo1_68 210.0442083 14.6399444 56.92 101.1 0.9 2.72 0.13 0.08 0.02 1.0 1.0 0.0 0.0 1
Boo1_69 210.0445417 14.4901111 84.95 103.9 0.8 3.02 0.11 0.19 0.01 0.989 1.0 0.0 0.0 1
Boo1_70 210.0480417 14.4322222 11.16 115.8 4.1 1.93 1.53 0.05 0.1 0.987 0.979 0.012 0.008 1
Boo1_71 210.0509583 14.4894444 13.67 99.1 2.5 1.89 0.53 -0.01 0.08 0.995 0.999 0.0 0.0 1
Boo1_72 210.0517083 14.5575833 24.5 -97.6 2.6 26.75 0.08 0.33 0.04 0.996 0.0 0.0 0.0 -1
Boo1_73 210.0538333 14.55325 105.93 101.8 0.7 3.07 0.09 0.13 0.01 1.0 1.0 0.0 0.0 1
Boo1_74 210.0555417 14.4383611 232.01 44.4 0.7 4.95 0.04 0.37 0.0 1.0 0.0 0.0 0.0 -1
Boo1_75 210.061125 14.6585278 11.22 100.9 3.4 2.43 0.69 -0.27 0.1 1.0 0.996 0.002 0.001 1
Boo1_76 210.0639583 14.3841667 327.72 65.7 0.7 5.95 0.03 0.4 0.0 0.999 0.0 0.0 0.0 -1
Boo1_77 210.064875 14.3968056 342.32 -53.2 0.7 6.61 0.03 0.98 0.0 0.999 0.0 0.0 0.0 -1
Boo1_78 210.065875 14.5796667 7.45 118.6 6.4 1.3 0.25 -0.44 0.15 0.995 0.961 0.018 0.013 1
Boo1_79 210.0672917 14.5296944 23.92 -778.7 2.1 5.1 6.56 0.01 0.04 0.993 nan nan nan -1
Boo1_80 210.069125 14.5916667 28.59 100.5 2.4 2.49 0.45 -0.03 0.04 1.0 1.0 0.0 0.0 1
Boo1_81 210.06925 14.4904167 13.99 99.6 2.6 1.91 0.33 0.14 0.08 1.0 1.0 0.0 0.0 1
Boo1_82 210.0857917 14.6261111 5.87 104.4 6.3 2.4 0.63 -0.06 0.19 0.979 0.986 0.005 0.004 1
Boo1_83 210.0875 14.6564444 71.32 -30.5 0.8 7.04 0.11 0.47 0.01 0.969 0.0 0.0 0.0 -1
Boo1_84 210.091 14.4314722 20.44 89.4 2.4 1.68 0.32 -0.01 0.05 1.0 0.997 0.005 0.002 1
Boo1_85 210.092125 14.6439444 31.27 99.2 2.1 2.0 0.41 -0.08 0.03 1.0 1.0 0.0 0.0 1
Boo1_86 210.0935 14.5574722 73.57 98.6 0.8 2.67 0.06 0.07 0.02 1.0 1.0 0.0 0.0 1
Boo1_87 210.0972083 14.4355556 7.43 93.4 4.5 4.3 0.29 0.34 0.14 1.0 0.0 0.0 0.001 -1
Boo1_88 210.0974167 14.5458889 6.84 97.4 6.0 1.45 0.26 -0.07 0.16 1.0 0.987 0.005 0.004 1
Boo1_89 210.1048333 14.5629722 20.88 99.2 1.6 1.92 0.27 -0.07 0.05 1.0 1.0 0.0 0.0 1
Boo1_90 210.10625 14.4881389 19.91 103.0 2.2 2.18 0.22 0.06 0.06 1.0 1.0 0.0 0.0 1
Boo1_91 210.109375 14.5762222 196.61 29.4 0.7 6.18 0.04 0.71 0.01 1.0 0.0 0.0 0.0 -1
Boo1_92 210.1105 14.4888333 10.44 -119.5 4.4 3.86 0.44 0.02 0.1 0.983 0.0 0.0 0.0 -1
Boo1_93 210.11075 14.4968889 21.61 107.4 1.6 2.19 0.39 0.09 0.05 1.0 0.999 0.001 0.0 1
Boo1_94 210.1119583 14.7011667 8.37 -39.2 5.4 3.86 0.51 0.37 0.12 0.999 0.0 0.0 0.0 -1
Boo1_95 210.1126667 14.64175 23.31 107.6 3.1 6.04 0.18 -0.18 0.04 0.994 1.0 0.0 0.0 1
Boo1_96 210.1136667 14.53875 42.37 106.5 1.0 2.57 0.44 -0.0 0.03 1.0 1.0 0.0 0.0 1
Boo1_97 210.11725 14.5532778 3.32 -53.0 7.9 2.22 0.47 0.46 0.3 0.788 nan nan nan -1
Boo1_98 210.1183333 14.3979444 11.68 100.0 3.5 1.54 0.35 0.06 0.09 0.984 0.98 0.008 0.006 1
Boo1_99 210.1197083 14.5285278 9.66 3.3 3.6 3.91 0.86 0.04 0.11 1.0 0.0 0.0 0.0 -1
Boo1_100 210.1205833 14.4172778 9.42 101.3 6.0 1.45 0.21 0.23 0.11 0.994 0.999 0.001 0.001 1
Boo1_101 210.120625 14.6426944 5.07 96.3 8.7 1.69 0.72 -0.37 0.22 0.987 0.963 0.013 0.01 -1
Boo1_102 210.1305417 14.6218333 8.01 -50.6 5.5 2.1 0.63 0.38 0.13 1.0 0.0 0.0 0.0 -1
Boo1_103 210.1324167 14.3376389 71.2 6.2 0.8 5.58 0.12 0.53 0.01 0.96 0.0 0.0 0.0 -1
Boo1_104 210.1329583 14.6856389 4.1 130.8 11.4 5.4 0.83 0.22 0.27 0.978 nan nan nan -1
Boo1_105 210.1339167 14.6076667 7.65 166.5 4.3 1.76 0.54 -0.48 0.15 1.0 0.0 0.0 0.0 -1
Boo1_106 210.134875 14.4599722 6.36 98.1 11.2 1.6 0.58 -0.33 0.19 0.982 nan nan nan 1
Boo1_107 210.135625 14.4001667 150.41 -60.0 0.7 4.12 0.09 0.77 0.01 1.0 0.0 0.0 0.0 -1
Boo1_108 210.1377917 14.4999167 80.31 97.6 0.8 1.95 0.06 0.0 0.01 0.993 1.0 0.0 0.0 1
Boo1_109 210.140625 14.4206389 261.81 -40.3 0.7 6.47 0.03 0.86 0.0 0.987 0.0 0.0 0.0 -1
Boo1_110 210.149875 14.4818333 15.04 -120.1 3.4 3.57 0.36 -0.16 0.07 1.0 0.0 0.0 0.0 -1
Boo1_111 210.1557917 14.4827778 1369.89 106.9 0.7 4.44 0.0 0.24 0.0 0.999 1.0 0.0 0.0 1
Boo1_112 210.1648333 14.4743889 20.27 106.4 3.8 5.11 0.2 -0.09 0.05 0.989 1.0 0.0 0.0 1
Boo1_113 210.1704167 14.5355833 7.22 111.4 5.7 0.95 0.22 -0.26 0.15 0.999 0.997 0.003 0.002 1
Boo1_114 210.198125 14.4033333 16.6 114.0 2.2 1.89 0.5 0.03 0.06 1.0 0.999 0.002 0.001 1
Boo1_115 210.1982083 14.4417222 13.37 98.2 2.3 1.82 0.31 0.07 0.08 1.0 0.997 0.003 0.002 1
Boo1_116 210.221625 14.4515 1427.84 41.2 0.7 7.12 0.0 0.95 0.0 0.956 0.0 0.0 0.0 -1
Boo1_117 210.2413333 14.4816667 9.0 98.5 4.3 2.67 0.38 0.19 0.13 1.0 0.908 0.032 0.025 1
Leo4_1117 173.1198333 -0.6115556 11.82 -21.0 2.7 3.8 0.41 -0.09 0.1 0.999 0.0 0.0 0.0 -1
Leo4_1109 173.1437917 -0.6300833 44.74 69.2 1.0 7.16 0.21 0.78 0.02 0.999 0.0 0.0 0.0 -1
Leo4_1118 173.1530833 -0.6501944 14.08 241.5 4.1 3.76 0.51 0.28 0.07 0.999 0.0 0.0 0.0 -1
Leo4_1021 173.1663333 -0.5974444 12.45 -746.6 11.8 0.08 0.19 -0.09 0.08 0.873 nan nan nan -1
Leo4_1072 173.1683333 -0.4971389 15.58 5.9 2.3 5.95 0.54 0.29 0.07 0.999 0.0 0.0 0.0 -1
Leo4_1150 173.1768333 -0.6899722 19.94 126.2 1.9 4.94 0.34 0.17 0.06 0.986 0.0 0.0 0.0 -1
Leo4_1070 173.176875 -0.4939444 6.57 195.6 5.6 4.75 0.58 0.33 0.16 0.998 0.0 0.0 0.0 -1
Leo4_1141 173.18375 -0.6851389 130.97 30.5 0.7 6.57 0.07 0.9 0.01 0.999 0.0 0.0 0.0 -1
Leo4_1075 173.1869583 -0.4724444 7.75 89.9 6.3 4.16 0.4 0.59 0.14 0.998 0.0 0.0 0.0 -1
Leo4_1076 173.195125 -0.6132778 12.66 185.2 3.6 5.65 0.34 0.4 0.08 0.999 0.0 0.0 0.0 -1
Leo4_1095 173.1974167 -0.6510278 3.49 -11.4 9.8 6.53 0.96 0.4 0.3 0.996 nan nan nan -1
Leo4_1051 173.1975833 -0.5375278 14.59 132.2 2.2 2.31 0.53 0.11 0.08 0.999 1.0 0.0 0.0 1
Leo4_1053 173.1976667 -0.5573889 6.67 333.7 5.3 3.57 0.5 0.18 0.16 0.998 0.0 0.0 0.0 -1
Leo4_1061 173.1986667 -0.5768056 5.84 145.4 7.9 5.51 0.63 0.09 0.2 0.997 0.748 0.106 0.079 -1
Leo4_1088 173.1988333 -0.4466389 8.28 281.7 4.4 2.05 0.23 0.46 0.12 0.999 0.0 0.0 0.0 -1
Leo4_1087 173.208875 -0.4446389 16.65 128.0 2.6 3.42 0.53 0.22 0.07 0.999 0.714 0.125 0.094 -1
Leo4_1057 173.210375 -0.4978333 6.7 127.8 4.9 1.4 0.19 0.38 0.16 0.998 0.939 0.032 0.021 1
Leo4_1045 173.2110833 -0.5189722 14.84 139.4 2.2 1.91 0.13 0.05 0.07 0.999 0.996 0.026 0.003 1
Leo4_1024 173.2152083 -0.4178889 5.89 185.8 5.0 31.67 0.16 -0.13 0.19 0.778 0.0 0.0 0.0 -1
Leo4_1083 173.2155417 -0.4491111 16.03 -695.1 22.2 1.99 1.32 -0.23 0.07 0.544 nan nan nan -1
Leo4_1080 173.2158333 -0.6271944 9.99 139.9 3.7 1.98 1.33 -0.19 0.11 0.999 0.724 0.177 0.114 1
Leo4_1058 173.215875 -0.5833889 8.12 187.4 8.9 1.06 0.22 0.18 0.13 0.994 0.0 0.0 0.0 -1
Leo4_1179 173.2174583 -0.7281389 5.52 -125.8 10.2 4.05 0.83 0.64 0.18 0.993 nan nan nan -1
Leo4_1039 173.21775 -0.5382222 10.86 134.2 2.9 3.65 1.27 -0.02 0.1 0.999 0.986 0.009 0.005 1
Leo4_1153 173.21875 -0.3757222 23.64 -36.0 1.6 6.14 0.4 0.57 0.04 0.999 0.0 0.0 0.0 -1
Leo4_1049 173.2213333 -0.5063889 10.88 229.5 3.9 3.36 0.63 0.31 0.1 0.999 0.0 0.0 0.0 -1
Leo4_1043 173.2230417 -0.56425 5.83 128.7 6.3 3.08 0.61 -0.08 0.19 0.994 0.982 0.01 0.006 1
Leo4_1036 173.2232917 -0.5489722 6.52 131.4 6.4 1.49 0.28 0.33 0.16 0.997 0.988 0.006 0.004 1
Leo4_1074 173.2242917 -0.4567778 6.94 -100.9 12.0 0.66 0.19 -0.22 0.16 0.925 nan nan nan -1
Leo4_1011 173.225 -0.544 4.99 8.0 16.3 5.85 0.71 0.3 0.21 0.946 nan nan nan -1
Leo4_1037 173.2269167 -0.5530833 15.04 136.3 2.6 2.41 0.71 0.1 0.07 0.999 1.0 0.001 0.0 1
Leo4_1012 173.2314583 -0.5176111 2.77 257.6 4.7 17.54 13.02 nan nan 0.993 nan nan nan -1
Leo4_1041 173.2325833 -0.55825 6.88 132.3 8.6 5.28 0.49 -0.26 0.16 0.934 0.986 0.007 0.005 1
Leo4_1046 173.2372917 -0.5722222 14.52 129.1 2.3 1.78 0.4 -0.16 0.08 0.999 1.0 0.001 0.0 1
Leo4_1056 173.2375 -0.5838611 5.72 125.0 7.5 1.62 0.29 0.32 0.19 0.997 0.954 0.025 0.016 1
Leo4_1042 173.2411667 -0.5593056 13.01 178.3 2.8 5.26 0.57 0.42 0.08 0.999 0.0 0.0 0.0 -1
Leo4_1048 173.243 -0.5036389 24.12 131.8 1.8 5.68 0.32 0.06 0.04 0.999 1.0 1.0 0.0 1
Leo4_1009 173.244375 -0.4624722 5.52 -8.4 9.7 4.1 0.65 0.47 0.2 0.995 0.0 0.0 0.0 -1
Leo4_1052 173.2445833 -0.5805556 43.36 131.2 1.0 2.64 0.22 0.05 0.03 0.999 1.0 0.0 0.0 1
Leo4_1044 173.246625 -0.5678056 6.27 53.1 28.4 4.35 0.66 0.09 0.17 0.895 nan nan nan -1
Leo4_1016 173.247125 -0.5755833 4.05 -3.2 9.7 5.18 0.98 0.11 0.26 0.996 0.0 0.0 0.0 -1
Leo4_1047 173.247125 -0.5056111 27.02 61.9 1.4 4.0 0.21 0.33 0.04 0.999 0.0 0.0 0.0 -1
Leo4_1167 173.2474583 -0.7123333 72.91 17.8 0.8 6.15 0.11 0.73 0.01 0.99 0.0 0.0 0.0 -1
Leo4_1067 173.2484583 -0.4708056 11.22 204.9 3.2 3.83 0.65 0.64 0.09 0.999 0.0 0.0 0.0 -1
Leo4_1031 173.250875 -0.7389722 3.77 -6.8 11.3 6.58 0.96 1.22 0.25 0.947 nan nan nan -1
Leo4_1060 173.2514583 -0.4899167 5.97 83.3 6.5 4.05 0.59 0.26 0.18 0.981 0.0 0.0 0.0 -1
Leo4_1014 173.2549583 -0.5162778 4.68 -7.8 13.7 2.89 0.82 -0.02 0.21 0.974 nan nan nan -1
Leo4_1040 173.2558333 -0.5341944 10.23 130.8 3.2 2.85 0.49 0.2 0.1 0.999 0.997 0.002 0.001 1
Leo4_1027 173.2559167 -0.7207222 4.33 -20.4 6.8 5.2 0.9 nan nan 0.922 0.0 0.0 0.0 -1
Leo4_1078 173.2561667 -0.4544444 20.92 -794.1 13.4 10.18 1.05 0.03 0.05 0.631 nan nan nan -1
Leo4_1017 173.25725 -0.4996944 4.12 -2.2 7.1 4.92 0.81 0.25 0.26 0.997 0.0 0.0 0.0 -1
Leo4_1013 173.2582083 -0.5579722 4.3 -2.4 9.2 3.97 0.95 0.48 0.24 0.996 0.0 0.0 0.0 -1
